iter	MultiClass
0	1.445232031
1	1.309250875
2	1.207947454
3	1.120026574
4	1.050381206
5	0.9842731839
6	0.9257078663
7	0.8753211039
8	0.8312143981
9	0.7915371922
10	0.7574444368
11	0.7249976806
12	0.6964563267
13	0.6709520064
14	0.646168706
15	0.623589065
16	0.6041654173
17	0.5857498468
18	0.5686160432
19	0.5531069671
20	0.5396281102
21	0.5257146258
22	0.5131154132
23	0.5017799759
24	0.4917932387
25	0.4817652251
26	0.4724583771
27	0.4632549204
28	0.454883873
29	0.4483020384
30	0.4417534184
31	0.4341601625
32	0.4287547503
33	0.4224440524
34	0.4173207329
35	0.4125435113
36	0.4077412156
37	0.4032179359
38	0.3990798113
39	0.3952576604
40	0.3912311649
41	0.3875500207
42	0.3836279269
43	0.3802099319
44	0.375990871
45	0.3729108446
46	0.3704463943
47	0.3669266017
48	0.3643839149
49	0.3612579583
50	0.3589365015
51	0.3566297389
52	0.3541277537
53	0.3515189333
54	0.3499393743
55	0.347254621
56	0.3449919129
57	0.3433312275
58	0.3417144707
59	0.3397566812
60	0.3385708977
61	0.3368889304
62	0.3354694393
63	0.3334669739
64	0.3315005394
65	0.3298571781
66	0.3286733613
67	0.3278148811
68	0.3265256771
69	0.3259633211
70	0.3247743494
71	0.3238550811
72	0.322295772
73	0.3217987953
74	0.3206127085
75	0.3200634488
76	0.3187506692
77	0.3175561282
78	0.3171496294
79	0.3163128908
80	0.3153143136
81	0.3145280146
82	0.3136104896
83	0.3129766223
84	0.3122435401
85	0.3116130212
86	0.3109158941
87	0.3102894853
88	0.309837553
89	0.3093209522
90	0.3089669481
91	0.3076696083
92	0.3075620777
93	0.3072203256
94	0.3066438037
95	0.3061085307
96	0.3057387671
97	0.3052282411
98	0.3040966003
99	0.3032231109
100	0.3028304484
101	0.3027432045
102	0.3024510652
103	0.3020814182
104	0.3020018712
105	0.3018633274
106	0.3014304305
107	0.3011259854
108	0.3006248862
109	0.3001874111
110	0.2996689872
111	0.2991543349
112	0.2986485633
113	0.2977088938
114	0.29713176
115	0.2967982151
116	0.2965373161
117	0.2961201789
118	0.2953397456
119	0.2950000283
120	0.2948952825
121	0.2945359969
122	0.2939776361
123	0.2936103986
124	0.2932642079
125	0.2928831917
126	0.2925773427
127	0.2921883806
128	0.2918244592
129	0.2914774454
130	0.2912086213
131	0.2907989689
132	0.2904623557
133	0.2897772828
134	0.2890202925
135	0.2882966043
136	0.287635927
137	0.2870866383
138	0.2867854324
139	0.2859274181
140	0.2857460739
141	0.2854466065
142	0.2851055961
143	0.2848184025
144	0.2844190251
145	0.2839378441
146	0.2832268471
147	0.2826454303
148	0.2823268764
149	0.2820620792
150	0.2817452495
151	0.2813796336
152	0.2810228096
153	0.2807521041
154	0.2802746483
155	0.280022515
156	0.2796430013
157	0.2794389007
158	0.2786672244
159	0.2782075096
160	0.2780386926
161	0.2777557013
162	0.277303606
163	0.2767388121
164	0.2764643462
165	0.2759189916
166	0.2755857326
167	0.2752931465
168	0.2747248288
169	0.2744625287
170	0.2742971778
171	0.2740646129
172	0.2738387931
173	0.2735263148
174	0.2731966097
175	0.2728627981
176	0.2726238891
177	0.2723086775
178	0.272047204
179	0.2716264908
180	0.2714445361
181	0.2713069924
182	0.2710765089
183	0.2706657603
184	0.2701145627
185	0.2695715249
186	0.269297903
187	0.2690805482
188	0.2688957575
189	0.2686856417
190	0.2685475468
191	0.2684746059
192	0.2681072441
193	0.2676362381
194	0.2673295364
195	0.2668974625
196	0.2666380841
197	0.2663674737
198	0.2662454095
199	0.2657657982
200	0.2654582237
201	0.2651103279
202	0.2648728684
203	0.2644790464
204	0.2642923346
205	0.2641507695
206	0.2639691603
207	0.2638749235
208	0.2637080606
209	0.2635115106
210	0.2633061598
211	0.2631158645
212	0.2629363755
213	0.2626631118
214	0.2624950598
215	0.2623905585
216	0.2621650331
217	0.2617962201
218	0.2616364618
219	0.2613957484
220	0.261209446
221	0.2610435057
222	0.2607623069
223	0.2603736229
224	0.2601932625
225	0.2599333136
226	0.259715655
227	0.2596251478
228	0.2594452109
229	0.2592097908
230	0.2589287209
231	0.2586368903
232	0.2584655752
233	0.2581524735
234	0.2580250717
235	0.25785676
236	0.2576135917
237	0.2574943441
238	0.2573015763
239	0.2571045614
240	0.2568949029
241	0.2566883309
242	0.2565056834
243	0.2563367986
244	0.2559987558
245	0.255990532
246	0.2558554124
247	0.2555622752
248	0.2553769163
249	0.255045508
